id,nickname
14,joan
24,oscar
44,david_lh
61,ahah
47,ivanbcn
92,david_sanchez
73,oriolc
117,marina_freixa
144,sylros
141,trastu2016
85,kerouack
98,ricard
181,crismon
160,felip
200,meritxell
191,piti_cervello
216,dani
193,santi_2
257,sergi
214,peter_peter_peter
265,isaac_cereijo
210,hector
164,Gabi_Gallart
245,judit
99,ruben
213,xavi_e
219,rocio_aguilera
287,eugenia_guiscafre
288,david_palomera_zaide
302,quique
301,marc_colomer
310,lidia_fuentes_ledo
29,habana2000
315,annagmacias
327,victor_2
314,pepepacheco
349,stvalls
338,laura_krauel
79,andreu
356,david_campillo
360,pak69
244,elva
359,marcsensecotxe
284,ecologistes_en_accio
340,consell_d_associacio
396,xavi_silvestre
398,lluis_d
411,merameque
430,impalah
250,daniel_lr
426,laub
461,pau_b
435,_2
474,chus
78,aoxi
484,ada_garcia_m
505,adrirudrigas
496,metacrilat
512,solidaritat_catalana
514,oscarc
509,edgar_puig_mundo
530,elia
537,jordic
544,pablomartinez
543,joaquimrp
552,wefer
424,roberto_carazo_redon
581,carmeg
591,bokerocky
590,ignacio_delgado
593,humbert
423,anita_borg
610,antoni_gut
621,marta_1986
634,quim_falgueras
630,laurabalci
656,jaume
657,mari
677,christian_m_a
659,pf
675,helena_s
706,victor1
713,enschede
156,juani47
324,la_marina_viva
646,plataforma_per_la_qu
788,laura_n
368,joaquim_navarro
48,marc_casanovas_i_bas
792,jordi_quintana
808,retroriff
806,rafael_cerrato_mejia
810,joan_busquet
832,david_revilla
120,leonor
31143,associacio_de_vein_6
600,fede_2
831,pilar_vicente_vara
403,sara_82
179,susanna
846,pablo_montoya
824,regina_vt
838,victoria_barcelo_roc
882,dany_torterolo
848,cristian_modesto
919,agente_k192
926,toni51
935,emma_infante
925,julio_2
119,xexu2000
983,tonyan06
1009,tomas_calvo_pobla
1017,mario_b
1010,catorvel
1054,mogambo
1059,pol_a
1056,nuria_90
883,manelff
979,josep_oriol_badell_s
31157,fundacio_procat
1033,sara_cervello_pomar
1099,ainapj
1113,cfl
709,berrocal_alonso
546,monsol
1182,jaime_lozano_blasco
1166,aurora_carrasco
1190,molina54
1208,jebimetal
1199,javier_zazo_martin
1241,emili_batiste_serra
1262,mireia_2
1261,daniel_noalttip_2
663,narelo_del_es
1272,jordi_garcia_lopez
1310,olga_marcos
1320,auroramf
959,gemma_at
31161,amics_de_la_bici
873,ernesto
797,arnau_2
1430,mar_llopis
1443,josep
1459,afa_dr_ferran_i_clua
579,josep_mompin_poblet
1377,marc_guallar
1476,manel_2
1139,toni_campos
1485,natalia_boronat
1523,grup_ecologista_del_
1525,markus
1481,associacio_celiacs_d
1604,eiyeitis
1306,andreu_c_sanchez
1646,merci_de_merce
1659,jaime_ortega
1656,maria_r
1654,jaume_villalba_gomis
1666,abel_bustos
1689,marta_castillo
1682,silvia_genoves
1676,gonzalo_bello
1707,roman
1734,cristina_palou_moren
1743,anna_arenas_rusinol
1750,natalia_lua
1757,marga_sant_andreu
1751,
1763,ramon_sales
1767,nluine
1781,sara_coe
1777,sexteni
1800,laura_ginel
1799,sergio_ligero
1807,joan_lluis_balague
1779,vaneryp
1858,sonia_frias_rollon
1885,alicialm182
1889,natifg
1897,carlos87
1748,mireia_perez_diaz
1901,christian_pujades
1905,enda
1898,anonim_2_3_4_5_6__23
1919,victor_herrera
1916,ilf
887,hector_r
1925,Xaviersimonmiranda53
1949,jordi_mayne_selles
1963,lluis_2
1977,bego
1990,jemima
1985,anonim_2_3_4_5_6__25
2003,guy_fawkes
1670,marta_bonilla
2007,efm
2018,mpgmuret
2025,ferni_seijas
2026,joan_cela
2046,carles_vr
2030,david_mc
2051,martin_petts
2048,daniel_perez
2069,pamiesp
2042,ma_jose_lluch_france
2094,juan_carlos_rojo
184,juan_gallego
2135,rosa_mateu
2109,j_d
2188,antonio_fernandez
1986,sj
2210,martinmel
2183,kk
2232,daniel_solves_ruiz
2237,david_calvo_blanco
2196,jkim
2244,lourdes_serra_calzad
2131,raulina
2274,cadi
2294,oscar_garcia-fraile_
369,maclaren
2324,aurora_escudero_diez
198,manuel_davila_rodrig
1173,emilio_lopez1985
2335,teresa_r-m
94,genis_barrera
2359,mentalila_mentalila
2361,jenny_jones
2364,rocu
1493,sinache
2008,fernando_delgado
2441,joan_b
2193,tiphaine
2465,joanet
1159,manutin
2469,elena_martinez
2484,blabar
573,borja_lo
2575,salvem_la_repla
594,jordi_goni_el_troc
2614,waldorapaz
2625,agusting
2650,sem_pons_puig
1609,david_bravo_bordas
2621,ALP
2652,alfredo_palomera
2692,pomesfi
2698,joan_s
2704,jalbaiges
2694,albert_pf
2726,miguel_2
2727,miriam_at
2286,jordi_ortega
2743,Vincles
106,pepe
2762,evapoleomenta
2777,f_t
2774,
2832,ignasi_lopez_arias
2618,freebolero
2870,xavier_2_3
