id_proposal;title_ca;title_es;title_en;authors_ids;authors_nicknames;comments;created_at;published_at;endorsements_ids;endorsements_nicknames;number_of_comments
3;Sensibilitzar sobre la diversitat funcional;;;;;;2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;0
4;Festes majors inclusives;;;;;;2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;0
5;Posar en funcionament l'EB L'Univers amb gestió pública;;;;;;2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;0
6;Canviar el model de gestió de les EB Enxaneta i Caspolino a pública;;;;;"5809;12563";2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;2
7;Projecte constructiu de l'Institut Vallcarca;;;;;"2651;2653;2681;2718;2767;2776;2778;2790;2791;2842;2850;3204;3219;3241;5107;5249;5250;5267;5286;5315;5317;6033;7131;7713;7778;7790;7842;7992;8093;10494";2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;31
8;Mapa escolar del districte amb inclusió de les escoles bressol.;;;;;"5290;18684";2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;2
9;Programa de patis oberts;;;;;"3915;8505";2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;2
10;Projectes escolars amb el Centre de Recursos Pedagògics;;;;;7786;2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;1
11;El comerç i les escoles;;;;;;2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;0
12;Pla de coeducació;;;;;;2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;0
13;"Projecte ""Trenquem el silenci. Abordar la violència masclista"". ";;;;;;2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;0
14;Publicació de Les dones de Gràcia;;;;;;2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;0
15;Projecte Minerva: Catàleg de dones creadores de Gràcia;;;;;;2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;0
16;"Projecte ""Radars""";;;;;"4942;12625;12626;12627";2016/01/22T:13:06:40;2018/04/04T:14:22:42;;;4
17;Millorar els equipaments de la gent gran.;;;;;"3893;3928;12623;12624";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;4
18;Celebrar actes relacionats amb la gent gran;;;;;;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;0
19;Projectes intergeneracionals entre gent gran i jove;;;;;;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;0
20;Programes de gent gran: teleassistència, Àpats, Vincles i d'altres;;;;;3927;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;1
21;Casals de joves a la Vila de Gràcia i al Camp d'en Grassot i Gràcia Nova;;;;;12616;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;1
22;Pla d'equipaments de Gràcia;;;;;"6960;6966;11846;11848;11861;11888;11890;17363";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;8
23;Definir l'ús dels nous equipaments: antic Consolat de Dinamarca i Can Carol;;;;;"2646;4767;6069;12622";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;4
24;Adquirir l'antic CAP Quevedo i definir el projecte;;;;;;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;0
26;Espais joves per a adolescents: La Fontana i La Sedeta;;;;;12615;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;1
27;Projecte d'emprenedoria juvenil;;;;;;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;0
28;Pla dels Tres Turons;;;;;"2477;2559";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;2
29;Cercar sòl i edificis per a habitatge públic;;;;;"6815;16206;16214;16232;16247;16249";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;6
30;CAP Vila de Gràcia;;;;;"13491;16568";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;2
31;CUAP Gràcia (centre d'urgències d'atenció primària);;;;;13490;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;1
32;Taula de coordinació de salut mental;;;;;"13488;13493;13496;13507";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;4
33;Gràcia, districte saludable;;;;;"13492;13495;13497;13498;13499;13501;13505";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;7
34;Interculturalitat i discriminació zero;;;;;;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;0
35;Jornades de portes obertes als tallers de creació del districte;;;;;"6989;8261";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;2
36;Recuperar la memòria històrica;;;;;3547;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;1
37;Organitzar activitats a biblioteques, centres cívics i equipaments culturals;;;;;6974;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;1
38;Difondre les activitats d'associacions i entitats;;;;;6981;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;1
39;Replantejament funcional de la Biblioteca Jaume Fuster;;;;;;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;0
40;Festa de l'Esport Infantil;;;;;;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;0
41;Nit de l'Esport;;;;;899;2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;1
42;Juga amb Gràcia;;;;;"17831;17832";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;2
43;"Ampliar el programa ""Activa't""";;;;;"17584;17892";2016/01/22T:13:06:41;2018/04/04T:14:22:42;;;2
44;Mercat de la Llibertat: promoure el producte de proximitat i ecològic;;;;;;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;0
45;Reforma del Mercat de l'Abaceria;;;;;"4595;12759;12760";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;5
46;Celebracions dels dies del Comerç ;;;;;"8238;12977;12978";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;3
47;Pla d'usos de Gràcia ;;;;;"8246;12973";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;2
48;Suport a les associacions de comerciants;;;;;"8214;8243";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;2
49;Pla d'impuls d'una economia cooperativa, social i solidària del districte;;;;;"4976;13405;13408;13410;13412;13413;13417;13418;13820;14842;16582;16586";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;12
50;Ateneu de Fabricació;;;;;"379;1564;1565;1566;1570;3705;3715;3976;5430;8175;8181;8182";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;22
51;Fomentar el cooperativisme de consum;;;;;"4399;13403;13411";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;3
52;Xarxa Pam a Pam;;;;;"13407;13415";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;2
53;Ocupació;;;;;14236;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;1
54;Oficina d’Ocupació de Barcelona Activa al Districte;;;;;1652;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;1
55;Pla de turisme del districte;;;;;"7061;15164;15166;15304;15440;15456;15478;15486;15488;15499;15507;18376;18377;18379";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;14
56;Definir l'ús provisional al solar del futur Institut Vallcarca;;;;;"2654;3207;7619;14181";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;4
57;Urbanitzar la plaça del Poble Romaní, etc.;;;;;;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;0
58;Promoure una Festa Major de Gràcia per a tothom;;;;;"11840;11853;11872;11876";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;4
59;Aula Ambiental Bosc Turull ;;;;;"2117;4568;7123;11339;14171;14204";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;6
60;Ambientalitzar les festes;;;;;"5058;14200;14201;14202";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;4
61;Obrir la plaça de les Dones del 36;;;;;14219;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;1
62;Limitadors acústics als concerts realitzats a l'espai públic;;;;;"18433;18434;18435;18436;18437";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;5
63;Vallcarca, nou model urbà ;;;;;"5994;15053;18201";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;3
64;Projecte de Pi i Margall;;;;;2728;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;1
65;Redactar el projecte de remodelació de la Via Augusta - Príncep d'Astúries;;;;;;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;0
66;Urinaris públics;;;;;"4903;9777";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;2
67;Espais per a gossos;;;;;520;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;1
68;Urbanitzar la travessera de Dalt;;;;;"6550;8244";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;2
69;PEMPRI Vila de Gràcia;;;;;3738;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;1
70;Millorar i ampliar els carrils bici;;;;;"5664;7367;7609;7896;9218";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;5
71;Racionalitzar i reduir l'aparcament de motos en vorera.;;;;;"375;410;1282;3740;4212;5066;5995;6914;7427";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;10
72;Camins escolars;;;;;"2558;4774;5059;5263;5296;7252;11777;11780";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;8
73;Jardí del Silenci;;;;;10206;2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;1
74;Ambientalitzar la Biblioteca M. Antonieta Cot i Miralpeix;;;;;"5054;6986;18085";2016/01/22T:13:06:42;2018/04/04T:14:22:42;;;3
75;Crear l'oficina del conseller/a;;;;;;2016/01/22T:13:06:43;2018/04/04T:14:22:42;;;0
76;Experiència pilot de pressupostos participatius;;;;;;2016/01/22T:13:06:43;2018/04/04T:14:22:42;;;0
77;Donar suport a les entitats, associacions i col·lectius de solidaritat;;;;;"8573;17703;17710";2016/01/22T:13:06:43;2018/04/04T:14:22:42;;;3
78;Potenciar els consells de barri i les audiències públiques;;;;;"1;17368";2016/01/22T:13:06:43;2018/04/04T:14:22:42;;;2
79;Taula d'accions comunitàries al barri del Coll;;;;;"2632;17708";2016/01/22T:13:06:43;2018/04/04T:14:22:42;;;2
80;Pla de desenvolupament comunitari de la Salut;;;;;;2016/01/22T:13:06:43;2018/04/04T:14:22:42;;;0
81;Pla d'actuació integral pel civisme i la convivència;;;;;"15268;15269;15270;15271;15278;15303;15310;15314;15318;15320;15322;15323;15324;15340";2016/01/22T:13:06:43;2018/04/04T:14:22:42;;;14
82;camins escolars;;;14;joan;;2016/01/29T:12:46:05;2018/04/04T:14:22:42;;;0
83;Pla d’actuació a menors no acompanyats;;;;;"94;12748";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;2
84;Pla d’actuació per a persones sense sostre;;;;;17395;2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;1
85;Millores en l’accés a la comunicació, als serveis i als equipaments municipals;;;;;"17604;17605;17606;17607;17608;17609";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;6
86;Ampliació del programa “Baixa’m al carrer”;;;;;"5004;5369;10631";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;3
87;Activitats de lleure educatiu en períodes no lectius;;;;;"14075;14107;17614;17615;17616;17617;17618";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;7
88;Revisió dels criteris de l’escolarització equilibrada;;;;;"5407;14099";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;2
89;Escoles bressol al Raval i a la Barceloneta;;;;;"7262;14073;14089;14094;14096;14106";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;6
90;Coordinació en l’àmbit de l’educació no formal;;;;;;2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;0
91;Patis oberts als equipaments educatius;;;;;"14087;14091";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;2
92;Pla d’educació;;;;;"6804;14085;14092;14093;14128";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;5
93;Potenciació dels PIAD;;;;;"9672;9700;9729;9759;9770";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;5
94;Obertura d'un equipament de joves al districte;;;;;"8662;11266;11310;11314;11316;11318";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;6
95;Casal de gent gran al Nucli Antic;;;;;;2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;0
96;Millora d’equipaments per a la gent gran;;;;;"11293;11297;11298;11299;11307;12567";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;6
97;Programa per a la recuperació de la memòria dels barris;;;;;"5438;5439;6222;11286";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;4
98;Mapa de les condicions de l’habitatge;;;;;"1086;16012;16021;16049";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;4
99;Increment de les cessions de sòl i/o edificis a les cooperatives d’habitatge;;;;;"15974;16031";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;2
100;Reforç de l’Oficina de l’Habitatge;;;;;"15969;15971;16032";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;3
101;Pla integral d’habitatge;;;;;"1117;9092;15951;15963;15972;15989;15996;16015";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;8
102;"Pla ""Dintres""";;;;;16053;2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;1
103;Consolidació del programa de salut comunitària del Raval;;;;;10288;2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;1
104;Reordenació dels equipaments de salut del Raval;;;;;"5415;10317;10360";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;3
105;Acabament de les obres de l’Hospital del Mar;;;;;"10275;10284;10379";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;3
106;Formació al personal municipal sobre malalties de salut mental;;;;;"10252;10264;10298;10310;10335;10337;10350";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;7
107;Revisió del pla de drogues: noves addiccions i alcoholisme;;;;;"621;3129;10290";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;3
108;Extensió del programa “Salut als barris” als quatres barris del districte;;;;;10352;2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;1
109;Millora dels equipaments de salut;;;;;"10267;10282;10293;10316;10348;13323;13358";2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;7
110;Reconeixement de la memòria i les tradicions de les comunitats d’origen divers;;;;;17292;2016/01/29T:14:26:06;2018/04/04T:14:22:42;;;1
111;Formació dels treballadors municipals en perspectiva intercultural;;;;;17297;2016/01/29T:14:26:07;2018/04/04T:14:22:42;;;1
112;Xarxa antirumors als barris;;;;;"4588;5414";2016/01/29T:14:26:07;2018/04/04T:14:22:42;;;2
113;Suport a la taula grup interreligiós del Raval;;;;;"6104;17304";2016/01/29T:14:26:07;2018/04/04T:14:22:42;;;2
114;Pla d’interculturalitat;;;;;"9029;16339;17282;17290;17294;17317;17318;17328;17345";2016/01/29T:14:26:07;2018/04/04T:14:22:42;;;9
